word,count,timestamp
,37,2018-03-29 15:26:50.132559
episode,34,2018-03-29 15:26:50.132559
tim,21,2018-03-29 15:26:50.132559
comments,20,2018-03-29 15:26:50.132559
ferriss,18,2018-03-29 15:26:50.132559
show,17,2018-03-29 15:26:50.132559
can,17,2018-03-29 15:26:50.132559
get,17,2018-03-29 15:26:50.132559
podcast,16,2018-03-29 15:26:50.132559
stream,16,2018-03-29 15:26:50.132559
share,15,2018-03-29 15:26:50.132559
much,14,2018-03-29 15:26:50.132559
download,14,2018-03-29 15:26:50.132559
brought,14,2018-03-29 15:26:50.132559
listen,13,2018-03-29 15:26:50.132559
new,12,2018-03-29 15:26:50.132559
day,12,2018-03-29 15:26:50.132559
code,11,2018-03-29 15:26:50.132559
questions,10,2018-03-29 15:26:50.132559
favorite,10,2018-03-29 15:26:50.132559
also,10,2018-03-29 15:26:50.132559
business,10,2018-03-29 15:26:50.132559
topics,9,2018-03-29 15:26:50.132559
want,9,2018-03-29 15:26:50.132559
one,9,2018-03-29 15:26:50.132559
life,9,2018-03-29 15:26:50.132559
mushroom,9,2018-03-29 15:26:50.132559
2018,8,2018-03-29 15:26:50.132559
leave,8,2018-03-29 15:26:50.132559
comment,8,2018-03-29 15:26:50.132559
,37,2018-03-29 15:27:18.290278
episode,34,2018-03-29 15:27:18.290278
tim,21,2018-03-29 15:27:18.290278
comments,20,2018-03-29 15:27:18.290278
ferriss,18,2018-03-29 15:27:18.290278
show,17,2018-03-29 15:27:18.290278
can,17,2018-03-29 15:27:18.290278
get,17,2018-03-29 15:27:18.290278
podcast,16,2018-03-29 15:27:18.290278
stream,16,2018-03-29 15:27:18.290278
share,15,2018-03-29 15:27:18.290278
much,14,2018-03-29 15:27:18.290278
download,14,2018-03-29 15:27:18.290278
brought,14,2018-03-29 15:27:18.290278
listen,13,2018-03-29 15:27:18.290278
new,12,2018-03-29 15:27:18.290278
day,12,2018-03-29 15:27:18.290278
code,11,2018-03-29 15:27:18.290278
questions,10,2018-03-29 15:27:18.290278
favorite,10,2018-03-29 15:27:18.290278
also,10,2018-03-29 15:27:18.290278
business,10,2018-03-29 15:27:18.290278
topics,9,2018-03-29 15:27:18.290278
want,9,2018-03-29 15:27:18.290278
one,9,2018-03-29 15:27:18.290278
life,9,2018-03-29 15:27:18.290278
mushroom,9,2018-03-29 15:27:18.290278
2018,8,2018-03-29 15:27:18.290278
leave,8,2018-03-29 15:27:18.290278
comment,8,2018-03-29 15:27:18.290278
,37,2018-03-29 15:27:29.336792
episode,34,2018-03-29 15:27:29.336792
tim,21,2018-03-29 15:27:29.336792
comments,20,2018-03-29 15:27:29.336792
ferriss,18,2018-03-29 15:27:29.336792
show,17,2018-03-29 15:27:29.336792
can,17,2018-03-29 15:27:29.336792
get,17,2018-03-29 15:27:29.336792
podcast,16,2018-03-29 15:27:29.336792
stream,16,2018-03-29 15:27:29.336792
share,15,2018-03-29 15:27:29.336792
much,14,2018-03-29 15:27:29.336792
download,14,2018-03-29 15:27:29.336792
brought,14,2018-03-29 15:27:29.336792
listen,13,2018-03-29 15:27:29.336792
new,12,2018-03-29 15:27:29.336792
day,12,2018-03-29 15:27:29.336792
code,11,2018-03-29 15:27:29.336792
questions,10,2018-03-29 15:27:29.336792
favorite,10,2018-03-29 15:27:29.336792
also,10,2018-03-29 15:27:29.336792
business,10,2018-03-29 15:27:29.336792
topics,9,2018-03-29 15:27:29.336792
want,9,2018-03-29 15:27:29.336792
one,9,2018-03-29 15:27:29.336792
life,9,2018-03-29 15:27:29.336792
mushroom,9,2018-03-29 15:27:29.336792
2018,8,2018-03-29 15:27:29.336792
leave,8,2018-03-29 15:27:29.336792
comment,8,2018-03-29 15:27:29.336792
,37,2018-03-29 15:51:27.624386
episode,34,2018-03-29 15:51:27.624386
tim,21,2018-03-29 15:51:27.624386
comments,20,2018-03-29 15:51:27.624386
ferriss,18,2018-03-29 15:51:27.624386
show,17,2018-03-29 15:51:27.624386
can,17,2018-03-29 15:51:27.624386
get,17,2018-03-29 15:51:27.624386
podcast,16,2018-03-29 15:51:27.624386
stream,16,2018-03-29 15:51:27.624386
share,15,2018-03-29 15:51:27.624386
much,14,2018-03-29 15:51:27.624386
download,14,2018-03-29 15:51:27.624386
brought,14,2018-03-29 15:51:27.624386
listen,13,2018-03-29 15:51:27.624386
new,12,2018-03-29 15:51:27.624386
day,12,2018-03-29 15:51:27.624386
code,11,2018-03-29 15:51:27.624386
questions,10,2018-03-29 15:51:27.624386
favorite,10,2018-03-29 15:51:27.624386
also,10,2018-03-29 15:51:27.624386
business,10,2018-03-29 15:51:27.624386
topics,9,2018-03-29 15:51:27.624386
want,9,2018-03-29 15:51:27.624386
one,9,2018-03-29 15:51:27.624386
life,9,2018-03-29 15:51:27.624386
mushroom,9,2018-03-29 15:51:27.624386
2018,8,2018-03-29 15:51:27.624386
leave,8,2018-03-29 15:51:27.624386
comment,8,2018-03-29 15:51:27.624386
